FDR	ID	Symbol	EntrezGeneName	Location	Type
3.91E-02	DOCK1	DOCK1	dedicator of cytokinesis 1	Cytoplasm	other
3.91E-02	EPC2	EPC2	enhancer of polycomb homolog 2	Other	other
3.93E-02	PRRC1	PRRC1	proline rich coiled-coil 1	Other	other
3.97E-02	SHISA6	SHISA6	shisa family member 6	Plasma Membrane	other
4.01E-02	PHF20L1	PHF20L1	PHD finger protein 20 like 1	Other	other
4.08E-02	SERPINB2	SERPINB2	serpin family B member 2	Extracellular Space	other
4.17E-02	AADACP1	AADACP1	arylacetamide deacetylase pseudogene 1	Other	other
4.19E-02	CENPW	CENPW	centromere protein W	Nucleus	other
4.21E-02	EFCAB2	EFCAB2	EF-hand calcium binding domain 2	Other	other
4.22E-02	GAPDHP28	GAPDHP28	glyceraldehyde 3 phosphate dehydrogenase pseudogene 28	Other	other
4.36E-02	WNT2B	WNT2B	Wnt family member 2B	Extracellular Space	other
4.46E-02	VSIG1	VSIG1	V-set and immunoglobulin domain containing 1	Plasma Membrane	other
4.51E-02	FTLP2	FTLP2	ferritin light chain pseudogene 2	Other	other
4.53E-02	RSL1D1	RSL1D1	ribosomal L1 domain containing 1	Nucleus	other
4.74E-02	ANXA11	ANXA11	annexin A11	Nucleus	other
4.81E-02	DPY19L2	DPY19L2	dpy-19 like 2	Nucleus	other
4.89E-02	RNU6-6P	RNU6-6P	"RNA, U6 small nuclear 6, pseudogene"	Nucleus	other
4.92E-02	TRAK1	TRAK1	trafficking kinesin protein 1	Nucleus	other
4.96E-02	CYCSP55	CYCSP55	"cytochrome c, somatic pseudogene 55"	Other	other
4.96E-02	NGDN	NGDN	neuroguidin	Nucleus	other
1.53E-23	USP54	USP54	ubiquitin specific peptidase 54	Other	peptidase
8.43E-13	CTSC	CTSC	cathepsin C	Cytoplasm	peptidase
4.91E-07	C3	C3	complement C3	Extracellular Space	peptidase
2.52E-04	DPP4	DPP4	dipeptidyl peptidase 4	Plasma Membrane	peptidase
7.64E-04	TMPRSS2	TMPRSS2	transmembrane serine protease 2	Plasma Membrane	peptidase
3.46E-03	WDR20	WDR20	WD repeat domain 20	Nucleus	peptidase
4.19E-03	LAP3	LAP3	leucine aminopeptidase 3	Cytoplasm	peptidase
4.78E-03	ADAM28	ADAM28	ADAM metallopeptidase domain 28	Plasma Membrane	peptidase
4.96E-03	LACTB	LACTB	lactamase beta	Cytoplasm	peptidase
5.99E-03	TLL1	TLL1	tolloid like 1	Extracellular Space	peptidase
1.10E-02	USP48	USP48	ubiquitin specific peptidase 48	Plasma Membrane	peptidase
2.64E-02	MUC5AC	MUC5AC	"mucin 5AC, oligomeric mucus/gel-forming"	Cytoplasm	peptidase
2.82E-02	BACE1	BACE1	beta-secretase 1	Cytoplasm	peptidase
2.89E-02	HM13	HM13	histocompatibility minor 13	Cytoplasm	peptidase
2.95E-02	PRSS23	PRSS23	serine protease 23	Extracellular Space	peptidase
4.94E-02	IMMP2L	IMMP2L	inner mitochondrial membrane peptidase subunit 2	Cytoplasm	peptidase
4.96E-02	CSTB	CSTB	cystatin B	Cytoplasm	peptidase
6.31E-11	DUSP5	DUSP5	dual specificity phosphatase 5	Nucleus	phosphatase
2.88E-06	PTPRN2	PTPRN2	"protein tyrosine phosphatase, receptor type N2"	Plasma Membrane	phosphatase
1.42E-04	EYA4	EYA4	EYA transcriptional coactivator and phosphatase 4	Cytoplasm	phosphatase
5.27E-04	INPP4B	INPP4B	inositol polyphosphate-4-phosphatase type II B	Cytoplasm	phosphatase
4.37E-03	PTPN2	PTPN2	"protein tyrosine phosphatase, non-receptor type 2"	Cytoplasm	phosphatase
6.50E-03	PTPRG	PTPRG	"protein tyrosine phosphatase, receptor type G"	Plasma Membrane	phosphatase
7.74E-03	ALPL	ALPL	"alkaline phosphatase, liver/bone/kidney"	Plasma Membrane	phosphatase
3.92E-02	INPP5B	INPP5B	inositol polyphosphate-5-phosphatase B	Plasma Membrane	phosphatase
4.15E-02	DUSP6	DUSP6	dual specificity phosphatase 6	Cytoplasm	phosphatase
4.36E-02	PPP1CB	PPP1CB	protein phosphatase 1 catalytic subunit beta	Cytoplasm	phosphatase
4.96E-02	OCRL	OCRL	"OCRL, inositol polyphosphate-5-phosphatase"	Cytoplasm	phosphatase
4.12E-11	NCOA7	NCOA7	nuclear receptor coactivator 7	Nucleus	transcription regulator
3.72E-10	MACC1	MACC1	"MACC1, MET transcriptional regulator"	Nucleus	transcription regulator
1.47E-07	SOX4	SOX4	SRY-box 4	Nucleus	transcription regulator
1.96E-06	JUN	JUN	"Jun proto-oncogene, AP-1 transcription factor subunit"	Nucleus	transcription regulator
8.17E-06	ST18	ST18	"ST18, C2H2C-type zinc finger"	Nucleus	transcription regulator
1.07E-05	SMAD3	SMAD3	SMAD family member 3	Nucleus	transcription regulator
2.81E-05	EPAS1	EPAS1	endothelial PAS domain protein 1	Nucleus	transcription regulator
2.20E-04	FOS	FOS	"Fos proto-oncogene, AP-1 transcription factor subunit"	Nucleus	transcription regulator
3.39E-04	SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	Nucleus	transcription regulator
5.21E-04	TCF7L1	TCF7L1	transcription factor 7 like 1	Nucleus	transcription regulator
1.04E-03	ETV6	ETV6	ETS variant 6	Nucleus	transcription regulator
1.04E-03	SRA1	SRA1	steroid receptor RNA activator 1	Nucleus	transcription regulator
1.06E-03	ZNF445	ZNF445	zinc finger protein 445	Nucleus	transcription regulator
1.18E-03	ASCC1	ASCC1	activating signal cointegrator 1 complex subunit 1	Nucleus	transcription regulator
1.99E-03	FHL2	FHL2	four and a half LIM domains 2	Nucleus	transcription regulator
2.18E-03	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	Nucleus	transcription regulator
2.30E-03	LDB2	LDB2	LIM domain binding 2	Nucleus	transcription regulator
2.72E-03	VDR	VDR	vitamin D receptor	Nucleus	transcription regulator
3.52E-03	CGGBP1	CGGBP1	CGG triplet repeat binding protein 1	Nucleus	transcription regulator
3.75E-03	PER2	PER2	period circadian regulator 2	Nucleus	transcription regulator
4.33E-03	HDAC7	HDAC7	histone deacetylase 7	Nucleus	transcription regulator
4.62E-03	TEAD1	TEAD1	TEA domain transcription factor 1	Nucleus	transcription regulator
8.27E-03	MKL2	MRTFB	myocardin related transcription factor B	Nucleus	transcription regulator
8.82E-03	ZNF436	ZNF436	zinc finger protein 436	Nucleus	transcription regulator
1.02E-02	ACAP3	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Nucleus	transcription regulator
1.10E-02	RUNX1	RUNX1	runt related transcription factor 1	Nucleus	transcription regulator
1.15E-02	CDKN2B	CDKN2B	cyclin dependent kinase inhibitor 2B	Nucleus	transcription regulator
1.18E-02	BARD1	BARD1	BRCA1 associated RING domain 1	Nucleus	transcription regulator
1.28E-02	ANKRD45	ANKRD45	ankyrin repeat domain 45	Nucleus	transcription regulator
1.28E-02	MLLT6	MLLT6	"MLLT6, PHD finger containing"	Nucleus	transcription regulator
1.63E-02	TCERG1	TCERG1	transcription elongation regulator 1	Nucleus	transcription regulator
1.88E-02	ZBTB7C	ZBTB7C	zinc finger and BTB domain containing 7C	Nucleus	transcription regulator
1.96E-02	ZNF682	ZNF682	zinc finger protein 682	Nucleus	transcription regulator
1.99E-02	NFAT5	NFAT5	nuclear factor of activated T cells 5	Nucleus	transcription regulator
2.08E-02	SPDEF	SPDEF	SAM pointed domain containing ETS transcription factor	Nucleus	transcription regulator
2.31E-02	CREB1	CREB1	cAMP responsive element binding protein 1	Nucleus	transcription regulator
2.64E-02	ELMSAN1	ELMSAN1	ELM2 and Myb/SANT domain containing 1	Nucleus	transcription regulator
2.96E-02	KLF4	KLF4	Kruppel like factor 4	Nucleus	transcription regulator
2.99E-02	ZNF250	ZNF250	zinc finger protein 250	Nucleus	transcription regulator
3.11E-02	SOX6	SOX6	SRY-box 6	Nucleus	transcription regulator
3.22E-02	ZEB1	ZEB1	zinc finger E-box binding homeobox 1	Nucleus	transcription regulator
3.60E-02	UBP1	UBP1	upstream binding protein 1	Cytoplasm	transcription regulator
3.67E-02	FOSB	FOSB	"FosB proto-oncogene, AP-1 transcription factor subunit"	Nucleus	transcription regulator
3.72E-02	HEXIM1	HEXIM1	hexamethylene bisacetamide inducible 1	Nucleus	transcription regulator
4.01E-02	RELB	RELB	"RELB proto-oncogene, NF-kB subunit"	Nucleus	transcription regulator
4.75E-02	TSC22D1	TSC22D1	TSC22 domain family member 1	Nucleus	transcription regulator
4.96E-02	SUFU	SUFU	SUFU negative regulator of hedgehog signaling	Nucleus	transcription regulator
2.63E-02	CPEB3	CPEB3	cytoplasmic polyadenylation element binding protein 3	Cytoplasm	translation regulator
1.52E-14	CD36	CD36	CD36 molecule	Plasma Membrane	transmembrane receptor
1.41E-04	ANTXR1	ANTXR1	ANTXR cell adhesion molecule 1	Plasma Membrane	transmembrane receptor
5.11E-03	TNFRSF10D	TNFRSF10D	TNF receptor superfamily member 10d	Plasma Membrane	transmembrane receptor
1.16E-02	UNC5B	UNC5B	unc-5 netrin receptor B	Plasma Membrane	transmembrane receptor
3.56E-14	SLC9B2	SLC9B2	solute carrier family 9 member B2	Plasma Membrane	transporter
8.43E-13	COG5	COG5	component of oligomeric golgi complex 5	Cytoplasm	transporter
1.67E-12	ATP1A1	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	Plasma Membrane	transporter
2.00E-12	SLC6A14	SLC6A14	solute carrier family 6 member 14	Plasma Membrane	transporter
4.68E-12	ABCA13	ABCA13	ATP binding cassette subfamily A member 13	Extracellular Space	transporter
1.10E-07	NRXN3	NRXN3	neurexin 3	Plasma Membrane	transporter
3.10E-07	ATP10B	ATP10B	ATPase phospholipid transporting 10B (putative)	Plasma Membrane	transporter
4.91E-07	SLC39A8	SLC39A8	solute carrier family 39 member 8	Extracellular Space	transporter
2.08E-06	ATP1B1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	Plasma Membrane	transporter
1.74E-05	LCN2	LCN2	lipocalin 2	Extracellular Space	transporter
8.17E-05	SORL1	SORL1	sortilin related receptor 1	Cytoplasm	transporter
3.99E-04	SLC9A9	SLC9A9	solute carrier family 9 member A9	Cytoplasm	transporter
7.61E-04	ATP12A	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	Plasma Membrane	transporter
1.30E-03	ABCA5	ABCA5	ATP binding cassette subfamily A member 5	Plasma Membrane	transporter
1.30E-03	PITPNC1	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1	Cytoplasm	transporter
1.96E-03	SLC22A23	SLC22A23	solute carrier family 22 member 23	Other	transporter
2.07E-03	ATP13A5	ATP13A5	ATPase 13A5	Plasma Membrane	transporter
2.72E-03	SLC15A2	SLC15A2	solute carrier family 15 member 2	Plasma Membrane	transporter
3.46E-03	SNX7	SNX7	sorting nexin 7	Other	transporter
3.69E-03	VPS13A	VPS13A	vacuolar protein sorting 13 homolog A	Cytoplasm	transporter
5.71E-03	SLC26A4	SLC26A4	solute carrier family 26 member 4	Plasma Membrane	transporter
6.95E-03	S100A6	S100A6	S100 calcium binding protein A6	Cytoplasm	transporter
8.77E-03	AQP5	AQP5	aquaporin 5	Plasma Membrane	transporter
1.45E-02	STIM2	STIM2	stromal interaction molecule 2	Plasma Membrane	transporter
1.93E-02	SEC14L1	SEC14L1	SEC14 like lipid binding 1	Cytoplasm	transporter
2.64E-02	FLVCR2	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2	Plasma Membrane	transporter
2.80E-02	SLC37A1	SLC37A1	solute carrier family 37 member 1	Plasma Membrane	transporter
3.34E-02	ATP6V0E1	ATP6V0E1	ATPase H+ transporting V0 subunit e1	Cytoplasm	transporter
3.42E-02	SNX18	SNX18	sorting nexin 18	Cytoplasm	transporter
3.70E-02	OSBPL5	OSBPL5	oxysterol binding protein like 5	Cytoplasm	transporter
3.70E-02	SLC17A5	SLC17A5	solute carrier family 17 member 5	Plasma Membrane	transporter
4.71E-02	OSBPL3	OSBPL3	oxysterol binding protein like 3	Cytoplasm	transporter
