FDR	ID	Symbol	EntrezGeneName	Location	Type
4.05E-02	PABPC1P4	PABPC1P4	poly(A) binding protein cytoplasmic 1 pseudogene 4	Other	other
4.16E-02	HMGB1P5	HMGB1P5	high mobility group box 1 pseudogene 5	Nucleus	other
4.19E-02	SERPINB1	SERPINB1	serpin family B member 1	Cytoplasm	other
4.26E-02	TMEM106B	TMEM106B	transmembrane protein 106B	Cytoplasm	other
4.34E-02	MARCKS	MARCKS	myristoylated alanine rich protein kinase C substrate	Plasma Membrane	other
4.43E-02	CAP1	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	Plasma Membrane	other
4.43E-02	LINC00342	LINC00342	long intergenic non-protein coding RNA 342	Other	other
4.58E-02	EPB41L4A	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	Extracellular Space	other
4.67E-02	LCA5	LCA5	"LCA5, lebercilin"	Extracellular Space	other
4.69E-02	GAPDHP40	GAPDHP40	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40	Other	other
4.70E-02	CEP152	CEP152	centrosomal protein 152	Cytoplasm	other
4.71E-02	TBC1D2	TBC1D2	TBC1 domain family member 2	Cytoplasm	other
4.73E-02	TBC1D3P1-DHX40P1	TBC1D3P1-DHX40P1	"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene"	Other	other
4.88E-02	PPP1R15A	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	Cytoplasm	other
4.93E-02	CMAHP	CMAHP	"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"	Cytoplasm	other
4.93E-02	HNRNPA1P48	HNRNPA1P48	heterogeneous nuclear ribonucleoprotein A1 pseudogene 48	Other	other
4.93E-02	MID1IP1	MID1IP1	MID1 interacting protein 1	Cytoplasm	other
4.93E-22	CTSC	CTSC	cathepsin C	Cytoplasm	peptidase
9.00E-13	USP54	USP54	ubiquitin specific peptidase 54	Other	peptidase
1.96E-07	GGH	GGH	gamma-glutamyl hydrolase	Cytoplasm	peptidase
1.11E-05	DPP4	DPP4	dipeptidyl peptidase 4	Plasma Membrane	peptidase
3.32E-03	CTSH	CTSH	cathepsin H	Cytoplasm	peptidase
3.47E-03	LACTB	LACTB	lactamase beta	Cytoplasm	peptidase
4.27E-03	PRSS23	PRSS23	serine protease 23	Extracellular Space	peptidase
4.66E-03	TMPRSS2	TMPRSS2	transmembrane serine protease 2	Plasma Membrane	peptidase
4.95E-03	ADAM28	ADAM28	ADAM metallopeptidase domain 28	Plasma Membrane	peptidase
1.09E-02	MUC5AC	MUC5AC	"mucin 5AC, oligomeric mucus/gel-forming"	Cytoplasm	peptidase
1.69E-02	CAST	CAST	calpastatin	Cytoplasm	peptidase
1.82E-02	TRABD2A	TRABD2A	TraB domain containing 2A	Plasma Membrane	peptidase
2.97E-02	PCSK6	PCSK6	proprotein convertase subtilisin/kexin type 6	Extracellular Space	peptidase
4.34E-02	BACE2	BACE2	beta-secretase 2	Cytoplasm	peptidase
4.34E-02	C3	C3	complement C3	Extracellular Space	peptidase
4.44E-02	NDEL1	NDEL1	nudE neurodevelopment protein 1 like 1	Nucleus	peptidase
4.93E-02	PSMB1	PSMB1	proteasome subunit beta 1	Cytoplasm	peptidase
1.37E-03	INPP4B	INPP4B	inositol polyphosphate-4-phosphatase type II B	Cytoplasm	phosphatase
7.99E-03	FBP1	FBP1	fructose-bisphosphatase 1	Cytoplasm	phosphatase
1.52E-02	PPP2CB	PPP2CB	protein phosphatase 2 catalytic subunit beta	Cytoplasm	phosphatase
1.55E-02	PPM1M	PPM1M	"protein phosphatase, Mg2+/Mn2+ dependent 1M"	Nucleus	phosphatase
2.28E-02	PTPRG	PTPRG	"protein tyrosine phosphatase, receptor type G"	Plasma Membrane	phosphatase
4.34E-02	LPIN3	LPIN3	lipin 3	Nucleus	phosphatase
1.19E-09	NCOA7	NCOA7	nuclear receptor coactivator 7	Nucleus	transcription regulator
1.28E-08	KLF4	KLF4	Kruppel like factor 4	Nucleus	transcription regulator
1.87E-07	FOS	FOS	"Fos proto-oncogene, AP-1 transcription factor subunit"	Nucleus	transcription regulator
2.00E-07	LDB2	LDB2	LIM domain binding 2	Nucleus	transcription regulator
7.48E-07	SPDEF	SPDEF	SAM pointed domain containing ETS transcription factor	Nucleus	transcription regulator
7.93E-07	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	Nucleus	transcription regulator
2.64E-05	MACC1	MACC1	"MACC1, MET transcriptional regulator"	Nucleus	transcription regulator
1.87E-04	JUN	JUN	"Jun proto-oncogene, AP-1 transcription factor subunit"	Nucleus	transcription regulator
2.54E-04	MKL2	MRTFB	myocardin related transcription factor B	Nucleus	transcription regulator
2.39E-03	FHL2	FHL2	four and a half LIM domains 2	Nucleus	transcription regulator
2.42E-03	TLE4	TLE4	transducin like enhancer of split 4	Nucleus	transcription regulator
2.42E-03	WWTR1	WWTR1	WW domain containing transcription regulator 1	Nucleus	transcription regulator
4.90E-03	TFCP2L1	TFCP2L1	transcription factor CP2 like 1	Nucleus	transcription regulator
5.63E-03	TCF7L1	TCF7L1	transcription factor 7 like 1	Nucleus	transcription regulator
9.72E-03	SOX4	SOX4	SRY-box 4	Nucleus	transcription regulator
1.33E-02	ZNF429	ZNF429	zinc finger protein 429	Nucleus	transcription regulator
1.79E-02	TFB1M	TFB1M	"transcription factor B1, mitochondrial"	Cytoplasm	transcription regulator
1.86E-02	ZMYND8	ZMYND8	zinc finger MYND-type containing 8	Nucleus	transcription regulator
1.88E-02	EPAS1	EPAS1	endothelial PAS domain protein 1	Nucleus	transcription regulator
1.94E-02	TCEA3	TCEA3	transcription elongation factor A3	Nucleus	transcription regulator
2.09E-02	PAWR	PAWR	pro-apoptotic WT1 regulator	Nucleus	transcription regulator
2.28E-02	NFAT5	NFAT5	nuclear factor of activated T cells 5	Nucleus	transcription regulator
2.46E-02	FOXK1	FOXK1	forkhead box K1	Nucleus	transcription regulator
2.97E-02	FOXA3	FOXA3	forkhead box A3	Nucleus	transcription regulator
3.68E-02	TCERG1	TCERG1	transcription elongation regulator 1	Nucleus	transcription regulator
4.00E-02	FOXN3	FOXN3	forkhead box N3	Nucleus	transcription regulator
4.05E-02	ZNF436	ZNF436	zinc finger protein 436	Nucleus	transcription regulator
4.14E-02	GTF3C6	GTF3C6	general transcription factor IIIC subunit 6	Nucleus	transcription regulator
4.43E-02	PTTG1	PTTG1	pituitary tumor-transforming 1	Nucleus	transcription regulator
4.72E-02	NCOA4	NCOA4	nuclear receptor coactivator 4	Nucleus	transcription regulator
4.91E-02	ANKIB1	ANKIB1	ankyrin repeat and IBR domain containing 1	Nucleus	transcription regulator
2.89E-11	EEF1A1	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Cytoplasm	translation regulator
1.67E-02	CPEB3	CPEB3	cytoplasmic polyadenylation element binding protein 3	Cytoplasm	translation regulator
1.85E-02	PABPC1	PABPC1	poly(A) binding protein cytoplasmic 1	Cytoplasm	translation regulator
3.87E-02	EIF3F	EIF3F	eukaryotic translation initiation factor 3 subunit F	Cytoplasm	translation regulator
6.25E-22	CD36	CD36	CD36 molecule	Plasma Membrane	transmembrane receptor
1.65E-02	PGRMC1	PGRMC1	progesterone receptor membrane component 1	Plasma Membrane	transmembrane receptor
1.88E-27	SLC9B2	SLC9B2	solute carrier family 9 member B2	Plasma Membrane	transporter
3.72E-22	SLC6A14	SLC6A14	solute carrier family 6 member 14	Plasma Membrane	transporter
3.35E-13	ATP1B1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	Plasma Membrane	transporter
2.35E-12	ATP1A1	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	Plasma Membrane	transporter
3.52E-10	SORL1	SORL1	sortilin related receptor 1	Cytoplasm	transporter
4.63E-10	PIGR	PIGR	polymeric immunoglobulin receptor	Plasma Membrane	transporter
7.50E-09	S100A6	S100A6	S100 calcium binding protein A6	Cytoplasm	transporter
6.20E-05	SLC39A8	SLC39A8	solute carrier family 39 member 8	Extracellular Space	transporter
2.81E-04	ATP12A	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	Plasma Membrane	transporter
5.29E-04	TF	TF	transferrin	Extracellular Space	transporter
6.06E-04	SLC15A2	SLC15A2	solute carrier family 15 member 2	Plasma Membrane	transporter
8.58E-04	SEC62	SEC62	"SEC62 homolog, preprotein translocation factor"	Cytoplasm	transporter
2.08E-03	AQP5	AQP5	aquaporin 5	Plasma Membrane	transporter
2.93E-03	SMC2	SMC2	structural maintenance of chromosomes 2	Nucleus	transporter
3.37E-03	ATP13A5	ATP13A5	ATPase 13A5	Plasma Membrane	transporter
4.61E-03	ABCA13	ABCA13	ATP binding cassette subfamily A member 13	Extracellular Space	transporter
4.61E-03	SAA1	SAA1	serum amyloid A1	Extracellular Space	transporter
4.61E-03	TUSC3	TUSC3	tumor suppressor candidate 3	Plasma Membrane	transporter
5.01E-03	TOM1L2	TOM1L2	target of myb1 like 2 membrane trafficking protein	Cytoplasm	transporter
8.92E-03	VAT1	VAT1	vesicle amine transport 1	Plasma Membrane	transporter
9.72E-03	DISP1	DISP1	dispatched RND transporter family member 1	Plasma Membrane	transporter
1.01E-02	HBB	HBB	hemoglobin subunit beta	Cytoplasm	transporter
1.62E-02	SLC50A1	SLC50A1	solute carrier family 50 member 1	Plasma Membrane	transporter
1.69E-02	FABP5	FABP5	fatty acid binding protein 5	Cytoplasm	transporter
1.80E-02	SERINC5	SERINC5	serine incorporator 5	Plasma Membrane	transporter
1.94E-02	ARHGAP45	ARHGAP45	Rho GTPase activating protein 45	Cytoplasm	transporter
1.97E-02	SEC14L1	SEC14L1	SEC14 like lipid binding 1	Cytoplasm	transporter
3.89E-02	LCN2	LCN2	lipocalin 2	Extracellular Space	transporter
4.38E-02	SLC38A2	SLC38A2	solute carrier family 38 member 2	Plasma Membrane	transporter
4.91E-02	VPS13A	VPS13A	vacuolar protein sorting 13 homolog A	Cytoplasm	transporter
